x,y,heading,target_speed
8.700000,8.625000,3.141593,2.7504
8.650000,8.625000,3.141593,3.0000
8.600000,8.625000,3.141593,3.0000
8.550000,8.625000,3.141593,3.0000
8.500000,8.625000,3.141593,3.0000
8.450000,8.625000,3.141593,3.0000
8.400000,8.625000,3.141593,3.0000
8.350000,8.625000,3.141593,3.0000
8.300000,8.625000,3.141593,3.0000
8.250000,8.625000,3.141593,3.0000
8.200000,8.625000,3.141593,3.0000
8.150000,8.625000,3.141593,3.0000
8.100000,8.625000,3.141593,3.0000
8.050000,8.625000,3.141593,3.0000
8.000000,8.625000,3.141593,3.0000
7.950000,8.625000,3.141593,3.0000
7.900000,8.625000,3.141593,3.0000
7.850000,8.625000,3.141593,3.0000
7.800000,8.625000,3.141593,3.0000
7.750000,8.625000,3.141593,3.0000
7.700000,8.625000,3.141593,3.0000
7.650000,8.625000,3.141593,3.0000
7.600000,8.625000,3.141593,3.0000
7.550000,8.625000,3.141593,3.0000
7.500000,8.625000,3.141593,3.0000
7.450000,8.625000,3.141593,3.0000
7.400000,8.625000,3.141593,3.0000
7.350000,8.625000,3.141593,3.0000
7.300000,8.625000,3.141593,3.0000
7.250000,8.625000,3.141593,3.0000
7.200000,8.625000,3.141593,3.0000
7.150000,8.625000,3.141593,3.0000
7.100000,8.625000,3.141593,3.0000
7.050000,8.625000,3.141593,3.0000
7.000000,8.625000,3.141593,3.0000
6.950000,8.625000,3.141593,3.0000
6.900000,8.625000,3.141593,3.0000
6.850000,8.625000,3.141593,3.0000
6.800000,8.625000,3.141593,3.0000
6.750000,8.625000,3.141593,3.0000
6.700000,8.625000,3.141593,3.0000
6.650000,8.625000,3.141593,3.0000
6.600000,8.625000,3.141593,3.0000
6.550000,8.625000,3.141593,3.0000
6.500000,8.625000,3.141593,3.0000
6.450000,8.625000,3.141593,3.0000
6.400000,8.625000,3.141593,3.0000
6.350000,8.625000,3.141593,3.0000
6.300000,8.625000,3.141593,3.0000
6.250000,8.625000,3.141593,3.0000
6.200000,8.625000,3.141593,3.0000
6.150000,8.625000,3.141593,3.0000
6.100000,8.625000,3.141593,3.0000
6.050000,8.625000,3.141593,3.0000
6.000000,8.625000,3.141593,3.0000
5.950000,8.625000,3.141593,3.0000
5.900000,8.625000,3.141593,3.0000
